"LP";"NUMER";"IMIE";"NAZWISKO";"ULICA";"MIASTO";"URODZONY";"ZAM";"SZKOLA";"ROCZNIK";"PLEC";"OLIMPIADA";"EGZAMIN";"OCENA";"POCH";"ZDAL";"PRZYJETY";"AKADEMIK";"STOLOWKA";"PUNKTY";"DOCHOD"
128,00;251,00;"Monika";"Wojtas";"Przewrotne 649";"Rzeszów";1976-4-30 00:00:00;"W";"LO";1994,00;"K";"T";"H";5,00;"R";"tak";"tak";"T";"T";11,00;1137,60 z³
129,00;141,00;"Maciej";"Wszo³ek";"Dobrzechow 195";"Rzeszów";1973-6-10 00:00:00;"M";"LO";1994,00;"M";"N";"B";5,00;"R";"tak";"tak";"T";"T";16,00;641,80 z³
130,00;51,00;"Ma³gorzata";"Ligêza";"Krasickiego 2/34";"Rzeszów";1972-9-24 00:00:00;"W";"LO";1993,00;"K";"N";"B";5,00;"R";"tak";"tak";"T";"T";12,00;1065,30 z³
131,00;413,00;"Krzysztof";"Serafin";"Cmolas 209";"Rzeszów";1976-4-23 00:00:00;"W";"Z.S.ROL";1992,00;"M";"N";"G";5,00;"C";"tak";"tak";"T";"T";18,00;1393,20 z³
132,00;22,00;"Beata";"Klajn";"Chorzelow 83";"Rzeszów";1972-9-20 00:00:00;"W";"LE";1994,00;"K";"T";"G";4,50;"R";"tak";"tak";"T";"T";16,00;1074,60 z³
133,00;343,00;"Ma³gorzata";"Habaj";"Straszydle 287";"Rzeszów";1972-11-19 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,50;"R";"tak";"tak";"T";"T";7,00;1310,40 z³
134,00;329,00;"Ma³gorzata";"Gucwa";"Kopernika 38";"Rzeszów";1974-3-7 00:00:00;"M";"LO";1994,00;"K";"N";"B";4,50;"R";"tak";"tak";"T";"T";11,00;446,10 z³
135,00;297,00;"Agnieszka";"Dynda";"Krasne 1110";"Rzeszów";1973-10-30 00:00:00;"M";"LO";1994,00;"K";"N";"C";4,50;"I";"tak";"tak";"T";"T";8,00;1323,10 z³
136,00;287,00;"Bernadeta";"Tomasik";"Biala 594";"Rzeszów";1974-8-27 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,50;"R";"tak";"tak";"T";"T";13,00;512,80 z³
137,00;278,00;"Mariusz";"Juruœ";"Kopernika 3/28";"Rzeszów";1975-6-4 00:00:00;"M";"LO";1994,00;"M";"T";"M";4,50;"R";"tak";"tak";"T";"T";2,00;1238,00 z³
138,00;197,00;"Dorota";"Zabierowska";"Raclawowka 80";"Rzeszów";1975-5-23 00:00:00;"W";"LO";1994,00;"K";"T";"M";4,50;"I";"tak";"tak";"T";"N";20,00;1291,00 z³
139,00;166,00;"Gra¿yna";"Tomasik";"Grunwaldzka 47";"Rzeszów";1976-12-17 00:00:00;"M";"LO";1994,00;"K";"N";"B";4,50;"I";"tak";"tak";"T";"T";20,00;984,20 z³
140,00;76,00;"Alicja";"Nowak";"Strazow 54";"Rzeszów";1977-2-27 00:00:00;"W";"LO";1994,00;"K";"N";"B";4,50;"R";"tak";"tak";"T";"T";6,00;622,40 z³
141,00;272,00;"Dorota";"K³odnicki";"Straszydle 47";"Rzeszów";1975-8-13 00:00:00;"W";"LE";1994,00;"K";"N";"G";4,00;"C";"tak";"nie";"T";"T";16,00;1390,60 z³
142,00;52,00;"Beata";"Politowicz";"Zglobien 369";"Rzeszów";1971-11-19 00:00:00;"W";"LE";1994,00;"K";"T";"G";4,00;"R";"tak";"tak";"T";"T";19,00;1170,20 z³
143,00;36,00;"Pawe³";"Szymczyk";"Tanskiego 9/35";"Rzeszów";1976-3-19 00:00:00;"M";"LE";1994,00;"M";"T";"G";4,00;"R";"tak";"tak";"T";"T";9,00;1004,50 z³
144,00;244,00;"Ma³gorzata";"Wal¹g";"W.Witosa 13";"Rzeszów";1975-11-26 00:00:00;"M";"LO";1993,00;"K";"N";"B";4,00;"R";"tak";"tak";"T";"T";15,00;462,80 z³
145,00;243,00;"Urszula";"Œwiniarski";"Lubla 289";"Rzeszów";1971-3-18 00:00:00;"W";"LO";1994,00;"K";"T";"C";4,00;"C";"tak";"tak";"T";"T";4,00;447,20 z³
146,00;218,00;"Lucyna";"Ziemba";"Gorska 5B";"Rzeszów";1975-11-17 00:00:00;"W";"LO";1994,00;"K";"N";"G";4,00;"R";"tak";"tak";"T";"T";19,00;401,90 z³
147,00;149,00;"Ma³gorzata";"Hudzik";"Gwoznica Gorna 3";"Rzeszów";1976-4-17 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,00;"R";"tak";"tak";"T";"T";6,00;829,70 z³
148,00;140,00;"Beata";"Wiêcek";"Wysoka Strzyzowska";"Rzeszów";1971-4-7 00:00:00;"W";"LO";1994,00;"K";"N";"B";4,00;"R";"tak";"tak";"T";"T";0,00;665,90 z³
149,00;129,00;"Grzegorz";"Tabiœ";"Mickiewicza 53/58";"Rzeszów";1972-5-26 00:00:00;"M";"LO";1993,00;"M";"N";"H";4,00;"I";"tak";"nie";"T";"T";12,00;855,00 z³
150,00;128,00;"Agnieszka";"Œwiniarska";"Krasne 733";"Rzeszów";1976-11-24 00:00:00;"W";"LO";1994,00;"K";"N";"B";4,00;"R";"tak";"tak";"T";"T";6,00;885,50 z³
151,00;21,00;"Agnieszka";"Wójtowicz";"Jasielska 93";"Rzeszów";1973-5-26 00:00:00;"W";"LO";1993,00;"K";"T";"G";4,00;"R";"tak";"tak";"T";"T";11,00;1304,10 z³
152,00;13,00;"Marta";"Wojtas";"Kom.Ed.Nar.4/16";"Rzeszów";1971-8-9 00:00:00;"M";"LO";1994,00;"K";"T";"B";4,00;"I";"tak";"tak";"T";"T";6,00;487,30 z³
153,00;122,00;"Krzysztof";"Kalisz";"Widelka 21";"Rzeszów";1971-8-5 00:00:00;"W";"LZ";1994,00;"M";"N";"G";4,00;"R";"tak";"nie";"T";"T";13,00;1329,10 z³
154,00;75,00;"Ryszard";"Wojtas";"Bialobrzegi 498";"Rzeszów";1973-2-13 00:00:00;"W";"T.M.R";1994,00;"M";"N";"G";4,00;"R";"tak";"nie";"N";"T";6,00;1224,20 z³
155,00;277,00;"Rafa³";"Zabierowska";"Czarna 149A";"Rzeszów";1974-11-28 00:00:00;"W";"T.Z";1993,00;"M";"T";"G";4,00;"I";"tak";"tak";"T";"T";8,00;862,90 z³
156,00;348,00;"Agnieszka";"Kamiñska";"Zaczernie 1092";"Rzeszów";1974-11-30 00:00:00;"W";"T.ROL";1994,00;"K";"T";"B";4,00;"R";"tak";"tak";"T";"T";18,00;1216,30 z³
157,00;232,00;"Grzegorz";"Radzik";"Nowa Wies 187";"Rzeszów";1976-7-2 00:00:00;"W";"T.Z";1994,00;"M";"T";"G";4,00;"R";"tak";"tak";"T";"T";0,00;1340,40 z³
158,00;387,00;"Jadwiga";"£abuz";"Wyzne 278";"Rzeszów";1974-1-11 00:00:00;"W";"Z.S.GOS";1994,00;"K";"N";"G";4,00;"R";"tak";"tak";"T";"T";3,00;1248,50 z³
159,00;290,00;"Joanna";"Guba³a";"Albigowa 911";"Rzeszów";1975-2-5 00:00:00;"W";"Z.S.ROL";1994,00;"K";"T";"G";4,00;"C";"tak";"tak";"T";"T";3,00;1055,30 z³
160,00;57,00;"Pawe³";"Habaj";"os.gen.Maczka 17/16";"Rzeszów";1977-1-5 00:00:00;"M";"Z.S.SPO";1994,00;"M";"N";"G";4,00;"I";"tak";"tak";"T";"T";4,00;735,30 z³
161,00;371,00;"Ewelina";"Kamiñska";"Chorzelow 193";"Rzeszów";1971-11-25 00:00:00;"W";"LE";1993,00;"K";"N";"G";3,50;"R";"tak";"nie";"T";"T";4,00;1240,20 z³
162,00;369,00;"Magdalena";"Pañszczyk";"Modelarska 17";"Rzeszów";1973-7-13 00:00:00;"M";"LE";1994,00;"K";"N";"G";3,50;"R";"tak";"nie";"T";"T";15,00;532,00 z³
163,00;368,00;"Joanna";"Æwiklik";"Chorzelow 572";"Rzeszów";1975-6-5 00:00:00;"W";"LE";1994,00;"K";"T";"M";3,50;"I";"tak";"nie";"T";"T";6,00;443,00 z³
164,00;359,00;"Marta";"Osio³";"Jelna 305";"Rzeszów";1972-5-25 00:00:00;"W";"LE";1993,00;"K";"T";"M";3,50;"R";"tak";"nie";"T";"T";7,00;1026,40 z³
165,00;307,00;"Agnieszka";"Tarsa";"Wola Mielecka 498";"Rzeszów";1973-8-3 00:00:00;"W";"LE";1993,00;"K";"N";"H";3,50;"R";"tak";"nie";"T";"T";17,00;586,60 z³
166,00;215,00;"Alicja";"Bobola";"Kraczkowa 918";"Rzeszów";1974-12-23 00:00:00;"W";"LE";1994,00;"K";"T";"H";3,50;"R";"tak";"nie";"T";"T";13,00;672,80 z³
167,00;398,00;"Bo¿ena";"Trybus";"Nosowka 326";"Rzeszów";1973-4-27 00:00:00;"W";"LO";1994,00;"K";"N";"H";3,50;"R";"tak";"nie";"T";"T";18,00;1149,60 z³
168,00;34,00;"Lucyna";"Szymczyk";"Sienkiewicza 40/23";"Rzeszów";1975-11-10 00:00:00;"M";"LE";1994,00;"K";"T";"H";3,50;"R";"tak";"nie";"T";"T";17,00;1102,80 z³
169,00;384,00;"Monika";"Kmak";"Babica 340";"Rzeszów";1976-1-25 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,50;"R";"tak";"tak";"T";"T";5,00;463,80 z³
170,00;380,00;"Artur";"Podolska";"Stare Miasto 155";"Rzeszów";1976-2-6 00:00:00;"W";"LO";1993,00;"M";"N";"B";3,50;"R";"tak";"nie";"T";"T";14,00;1231,80 z³
171,00;374,00;"Bo¿ena";"£abuz";"Nienadowka 351";"Rzeszów";1972-11-27 00:00:00;"W";"LO";1993,00;"K";"N";"G";3,50;"C";"tak";"nie";"T";"T";1,00;1206,00 z³
172,00;353,00;"Dorota";"Podolska";"Lubenia 547";"Rzeszów";1976-12-31 00:00:00;"W";"LO";1993,00;"K";"T";"C";3,50;"R";"tak";"nie";"T";"T";14,00;1297,10 z³
173,00;341,00;"El¿bieta";"Æwiklik";"Franciszkanska 17";"Rzeszów";1976-10-15 00:00:00;"M";"LO";1994,00;"K";"T";"F";3,50;"I";"tak";"nie";"T";"T";10,00;652,20 z³
174,00;279,00;"Miros³aw";"Gwó¿d¿";"Brzoza Krolewska 27";"Rzeszów";1976-4-17 00:00:00;"W";"LO";1994,00;"M";"N";"M";3,50;"R";"tak";"nie";"T";"T";18,00;1246,40 z³
175,00;328,00;"Katarzyna";"Zió³kowska";"Bialobrzeska 86A";"Rzeszów";1971-10-12 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,50;"R";"tak";"nie";"T";"T";11,00;769,00 z³
176,00;266,00;"Dorota";"Skiba";"Godowa 688";"Rzeszów";1975-3-3 00:00:00;"W";"LO";1994,00;"K";"T";"B";3,50;"R";"tak";"nie";"T";"T";18,00;780,40 z³
177,00;185,00;"Ewa";"Bo¿ek";"Kopernika 6/57";"Rzeszów";1971-4-4 00:00:00;"M";"LO";1994,00;"K";"T";"G";3,50;"I";"tak";"nie";"T";"T";19,00;802,70 z³
178,00;169,00;"El¿bieta";"Bedus";"Stojalowskiego 188A";"Rzeszów";1972-10-21 00:00:00;"W";"LO";1994,00;"K";"T";"G";3,50;"R";"tak";"nie";"T";"T";12,00;1357,10 z³
179,00;168,00;"Marzena";"Jamer";"Przewrotne 594";"Rzeszów";1973-5-23 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,50;"R";"tak";"nie";"T";"T";16,00;1096,70 z³
180,00;108,00;"Micha³";"Paw³owska";"Zielona 15";"Rzeszów";1973-8-23 00:00:00;"W";"LO";1994,00;"M";"N";"G";3,50;"I";"tak";"nie";"T";"T";0,00;676,10 z³
181,00;95,00;"Dorota";"Szura";"Zarebki 207";"Rzeszów";1973-1-3 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,50;"R";"tak";"nie";"N";"T";16,00;950,90 z³
182,00;85,00;"Anna";"Janik";"Wyzne 305";"Rzeszów";1974-12-17 00:00:00;"W";"LO";1994,00;"K";"T";"G";3,50;"R";"tak";"nie";"T";"T";3,00;456,50 z³
183,00;60,00;"Anna";"Przes³awska";"Podwale 21";"Rzeszów";1972-2-28 00:00:00;"M";"LO";1994,00;"K";"T";"M";3,50;"I";"tak";"nie";"T";"T";10,00;1111,70 z³
184,00;26,00;"Rafa³";"Guba³a";"Tkaczowa 169C/35";"Rzeszów";1974-1-29 00:00:00;"W";"LO";1993,00;"M";"N";"B";3,50;"R";"tak";"nie";"T";"T";19,00;1174,00 z³
185,00;346,00;"Tomasz";"Pañszczyk";"os.Gen.Maczka 13/3";"Rzeszów";1973-7-11 00:00:00;"M";"T.M.R";1994,00;"M";"T";"G";3,50;"R";"tak";"nie";"T";"T";18,00;959,80 z³
186,00;119,00;"Grzegorz";"Smalec";"os.gen.Maczka 6/50";"Rzeszów";1975-5-6 00:00:00;"M";"T.M.R";1994,00;"M";"N";"G";3,50;"R";"tak";"nie";"T";"T";13,00;692,20 z³
187,00;17,00;"Andrzej";"Ziemba";"Budy Lancuckie 192";"Rzeszów";1973-9-12 00:00:00;"W";"T.M.R";1994,00;"M";"T";"G";3,50;"R";"tak";"nie";"T";"T";1,00;1195,50 z³
188,00;15,00;"Adam";"Bo¿ek";"Budy Lancuckie 35A";"Rzeszów";1973-1-18 00:00:00;"W";"T.M.R";1994,00;"M";"N";"H";3,50;"R";"tak";"nie";"T";"T";1,00;1157,40 z³
189,00;10,00;"Piotr";"Grabowska";"Kochanowskiego 1E/3";"Rzeszów";1971-9-3 00:00:00;"M";"T.M.R";1994,00;"M";"N";"H";3,50;"R";"tak";"nie";"T";"T";8,00;816,20 z³
190,00;94,00;"Marek";"Górski";"Staniszewskie 22";"Rzeszów";1975-11-7 00:00:00;"W";"T.MECH";1994,00;"M";"N";"H";3,50;"R";"tak";"nie";"T";"T";14,00;1303,80 z³
191,00;20,00;"Tomasz";"Gaber";"Orzeszkowej 2A";"Rzeszów";1974-4-11 00:00:00;"M";"LO";1994,00;"M";"T";"H";3,50;"C";"tak";"nie";"T";"T";5,00;461,80 z³
192,00;403,00;"Aneta";"Wojtas";"Jaslany 348";"Rzeszów";1973-4-29 00:00:00;"W";"LZ";1994,00;"K";"T";"B";3,50;"R";"tak";"nie";"T";"T";19,00;632,20 z³
193,00;321,00;"Grzegorz";"Habaj";"Albigowa 633";"Rzeszów";1974-10-10 00:00:00;"W";"LZ";1993,00;"M";"N";"G";3,50;"R";"tak";"nie";"T";"T";5,00;988,10 z³
194,00;125,00;"Grzegorz";"Habaj";"Lubenia 190";"Rzeszów";1973-5-13 00:00:00;"W";"T.ROL";1994,00;"M";"N";"B";3,50;"R";"tak";"nie";"T";"T";9,00;1080,20 z³
195,00;256,00;"Tomasz";"Zió³kowska";"Rudna Wielka 63";"Rzeszów";1976-4-6 00:00:00;"W";"T.Z";1994,00;"M";"T";"H";3,50;"R";"tak";"nie";"T";"T";8,00;688,10 z³
196,00;217,00;"Agnieszka";"Ziêba";"Mickiewicza 29";"Rzeszów";1976-4-26 00:00:00;"W";"T.Z";1993,00;"K";"T";"G";3,50;"R";"tak";"nie";"T";"T";17,00;504,40 z³
197,00;164,00;"Piotr";"Œwiêch";"Przedmiescie Czudec";"Rzeszów";1975-5-10 00:00:00;"W";"Z.S.ELK";1994,00;"M";"T";"G";3,50;"R";"tak";"nie";"T";"T";2,00;439,10 z³
198,00;117,00;"El¿bieta";"Sitarz";"Rudna Wielka 63";"Rzeszów";1973-12-31 00:00:00;"W";"Z.S.GOS";1994,00;"K";"N";"G";3,50;"R";"tak";"nie";"T";"T";3,00;887,10 z³
199,00;62,00;"Bogus³aw";"Szymczyk";"Niedzwiada 19";"Rzeszów";1976-12-4 00:00:00;"W";"Z.S.ROL";1994,00;"M";"T";"G";3,50;"C";"tak";"nie";"T";"T";17,00;812,20 z³
200,00;351,00;"Robert";"Urbanik";"Zaczernie 267";"Rzeszów";1975-9-20 00:00:00;"W";"Z.S.Z";1994,00;"M";"N";"M";3,50;"I";"tak";"nie";"T";"T";14,00;976,20 z³
201,00;378,00;"Dorota";"Osio³";"Slocina 164";"Rzeszów";1972-6-2 00:00:00;"M";"LE";1994,00;"K";"N";"C";3,00;"R";"tak";"nie";"T";"T";15,00;1081,20 z³
202,00;392,00;"Ma³gorzata";"Rura";"Grodzisko Nowe 175";"Rzeszów";1971-8-2 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";7,00;495,10 z³
203,00;390,00;"Piotr";"Podolska";"Kopernika 11/4";"Rzeszów";1973-10-1 00:00:00;"M";"LO";1994,00;"M";"T";"G";3,00;"R";"tak";"nie";"T";"T";19,00;992,20 z³
204,00;381,00;"Marta";"Œliwa";"Chechly 380";"Rzeszów";1977-1-17 00:00:00;"W";"LO";1993,00;"K";"T";"M";3,00;"R";"tak";"nie";"T";"N";4,00;995,50 z³
205,00;35,00;"Aneta";"Pañszczyk";"Spoldzielcza 6/52";"Rzeszów";1972-12-18 00:00:00;"M";"LE";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";8,00;1185,40 z³
206,00;354,00;"Agnieszka";"Habaj";"Laka 37";"Rzeszów";1976-9-20 00:00:00;"W";"LO";1994,00;"K";"T";"M";3,00;"I";"tak";"nie";"T";"T";2,00;449,70 z³
207,00;339,00;"Monika";"Kotowicz";"Mrowla 275A";"Rzeszów";1973-1-24 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";1,00;795,30 z³
208,00;335,00;"Ewa";"Tomasik";"Kopernika 9/47";"Rzeszów";1973-7-22 00:00:00;"M";"LO";1994,00;"K";"T";"B";3,00;"R";"tak";"nie";"T";"T";9,00;889,00 z³
209,00;245,00;"Magdalena";"Wachowicz";"Strumykowa 1";"Rzeszów";1976-9-18 00:00:00;"M";"LO";1993,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";16,00;1012,10 z³
210,00;320,00;"Iwona";"Libront";"Straszydle 156";"Rzeszów";1975-6-21 00:00:00;"W";"LO";1994,00;"K";"N";"M";3,00;"R";"tak";"nie";"T";"T";0,00;781,70 z³
211,00;241,00;"Krystyna";"Libront";"Widelka 605";"Rzeszów";1975-2-10 00:00:00;"W";"LO";1993,00;"K";"N";"G";3,00;"C";"tak";"nie";"T";"T";2,00;678,00 z³
212,00;224,00;"Daniel";"Mikosz";"T.Michalka 24";"Rzeszów";1975-5-13 00:00:00;"M";"LO";1994,00;"M";"T";"B";3,00;"R";"tak";"nie";"T";"T";4,00;1277,60 z³
213,00;201,00;"Agnieszka";"Urbanik";"Sportowa 1";"Rzeszów";1972-9-21 00:00:00;"M";"LO";1994,00;"K";"T";"B";3,00;"R";"tak";"nie";"T";"T";2,00;875,30 z³
214,00;196,00;"Joanna";"Bo¿ek";"Sarzyna 927";"Rzeszów";1974-4-9 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";11,00;1120,50 z³
215,00;151,00;"Teresa";"Go³¹bek";"Zaleze 27";"Rzeszów";1972-4-19 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,00;"I";"tak";"nie";"T";"T";8,00;609,30 z³
216,00;143,00;"Micha³";"Æwiklik";"Strazow 65";"Rzeszów";1972-2-19 00:00:00;"W";"LO";1994,00;"M";"T";"G";3,00;"C";"tak";"nie";"T";"T";16,00;675,60 z³
217,00;131,00;"Joanna";"Michalik";"Wola Ociecka 90";"Rzeszów";1974-3-11 00:00:00;"W";"LO";1994,00;"K";"T";"M";3,00;"I";"tak";"nie";"T";"T";15,00;724,70 z³
218,00;112,00;"El¿bieta";"Kostrzewa";"1-go Maja 13/2";"Rzeszów";1974-2-2 00:00:00;"W";"LO";1994,00;"K";"T";"B";3,00;"R";"tak";"nie";"T";"T";0,00;408,90 z³
219,00;83,00;"Katarzyna";"Myszkowska";"Metalowcow 13";"Rzeszów";1973-2-19 00:00:00;"M";"LO";1994,00;"K";"N";"F";3,00;"R";"tak";"nie";"T";"T";5,00;1368,20 z³
220,00;82,00;"Dorota";"Gêbarowska";"Cmolas 454";"Rzeszów";1976-5-23 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"N";"T";16,00;980,50 z³
221,00;71,00;"Katarzyna";"Korona";"Sarzyna 920";"Rzeszów";1975-4-6 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";13,00;710,40 z³
222,00;50,00;"Piotr";"Zabierowski";"Polna 2";"Rzeszów";1975-2-11 00:00:00;"M";"LO";1992,00;"M";"T";"B";3,00;"R";"tak";"nie";"T";"T";2,00;926,70 z³
223,00;49,00;"Marek";"Brach";"Krasickiego 3/13";"Rzeszów";1971-11-8 00:00:00;"M";"LO";1992,00;"M";"T";"M";3,00;"R";"tak";"nie";"T";"T";12,00;1042,10 z³
224,00;43,00;"Ma³gorzata";"Mas³owski";"Nowa Wies 295";"Rzeszów";1973-2-10 00:00:00;"W";"LO";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";12,00;1236,20 z³
225,00;361,00;"Jolanta";"Zawiœlak";"Lutoryz 166";"Rzeszów";1971-10-9 00:00:00;"W";"LZ";1994,00;"K";"T";"C";3,00;"R";"tak";"nie";"T";"T";8,00;744,40 z³
226,00;175,00;"Grzegorz";"Cieœla";"Kosina 584";"Rzeszów";1973-2-21 00:00:00;"W";"T.M.R";1994,00;"M";"N";"M";3,00;"R";"tak";"nie";"T";"T";5,00;1193,20 z³
227,00;44,00;"Jozef";"Æwiklik";"Wola Dalsza 338";"Rzeszów";1973-8-5 00:00:00;"W";"T.M.R";1994,00;"M";"T";"M";3,00;"R";"tak";"nie";"T";"T";14,00;981,50 z³
228,00;41,00;"Ma³gorzata";"Guba³a";"Gorska 28B";"Rzeszów";1974-4-3 00:00:00;"W";"LO";1994,00;"K";"N";"M";3,00;"I";"tak";"nie";"T";"T";7,00;994,70 z³
229,00;16,00;"Krzysztof";"Trojanowicz";"Brzoza Stadnicka 44";"Rzeszów";1972-11-25 00:00:00;"W";"T.M.R";1994,00;"M";"N";"G";3,00;"R";"tak";"nie";"T";"T";0,00;843,20 z³
230,00;261,00;"Janusz";"Bo¿ek";"Opalinskiego 80";"Rzeszów";1972-9-22 00:00:00;"M";"T.MECH";1994,00;"M";"N";"G";3,00;"R";"tak";"nie";"T";"T";16,00;704,50 z³
231,00;260,00;"Marek";"Mika";"Stare Miasto 263";"Rzeszów";1973-6-18 00:00:00;"W";"T.MECH";1994,00;"M";"T";"G";3,00;"R";"tak";"nie";"T";"T";14,00;626,20 z³
232,00;365,00;"Wojciech";"Kmak";"Trzciana 85";"Rzeszów";1975-10-18 00:00:00;"W";"T.WETER";1994,00;"M";"T";"B";3,00;"C";"tak";"nie";"T";"T";9,00;444,80 z³
233,00;411,00;"Aleksander";"Kotowicz";"Kopernika 2/32";"Rzeszów";1973-7-8 00:00:00;"M";"T.Z";1993,00;"M";"N";"G";3,00;"R";"tak";"nie";"T";"T";16,00;1026,20 z³
234,00;372,00;"Robert";"Smo³kowicz";"Chorzelow 743";"Rzeszów";1974-12-1 00:00:00;"W";"T.Z";1993,00;"M";"N";"G";3,00;"I";"tak";"nie";"T";"T";12,00;643,60 z³
235,00;316,00;"Mariusz";"Janas";"Stobierna 1073";"Rzeszów";1974-12-20 00:00:00;"W";"Z.S.ENG";1994,00;"M";"T";"G";3,00;"R";"tak";"nie";"T";"T";10,00;918,40 z³
236,00;300,00;"El¿bieta";"Cieœla";"Albigowa 285";"Rzeszów";1973-5-5 00:00:00;"W";"Z.S.GOS";1994,00;"K";"T";"H";3,00;"C";"tak";"nie";"T";"N";9,00;755,20 z³
237,00;89,00;"Agnieszka";"Œwiniarski";"Krasne 758";"Rzeszów";1973-8-1 00:00:00;"W";"Z.S.GOS";1994,00;"K";"T";"G";3,00;"R";"tak";"nie";"T";"T";7,00;606,10 z³
238,00;376,00;"Agata";"Podolska";"Wysoka 88A";"Rzeszów";1974-12-25 00:00:00;"W";"Z.S.ROL";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";13,00;583,00 z³
239,00;325,00;"Bogdan";"Rura";"Glinik Dolny 320";"Rzeszów";1974-10-3 00:00:00;"W";"Z.S.ROL";1994,00;"M";"T";"G";3,00;"R";"tak";"nie";"T";"T";15,00;1007,00 z³
240,00;144,00;"Ma³gorzata";"Æwiklik";"Wysoka 518";"Rzeszów";1971-11-28 00:00:00;"W";"Z.S.ROL";1994,00;"K";"N";"G";3,00;"R";"tak";"nie";"T";"T";17,00;1191,90 z³
241,00;118,00;"Marek";"Kuku³a";"Rzeznicza 12";"Rzeszów";1971-9-3 00:00:00;"M";"Z.S.ROL";1994,00;"M";"N";"G";3,00;"I";"tak";"nie";"T";"T";1,00;552,60 z³
242,00;30,00;"Bogus³awa";"Juruœ";"Partyzantow 36";"Rzeszów";1971-11-24 00:00:00;"M";"Z.S.ROL";1994,00;"K";"N";"B";3,00;"R";"tak";"nie";"T";"T";19,00;1115,40 z³
243,00;211,00;"Alicja";"Bobola";"Trzebownisko 928/7";"Rzeszów";1974-5-13 00:00:00;"W";"Z.S.SPO";1994,00;"K";"T";"B";3,00;"C";"tak";"nie";"T";"T";17,00;725,60 z³
244,00;382,00;"Iwona";"Rura";"Kaweczyn 113";"Rzeszów";1976-7-15 00:00:00;"W";"LO";1993,00;"K";"T";"G";2,00;"R";"nie";"nie";"T";"T";1,00;1252,50 z³
245,00;336,00;"Bo¿ena";"Tarsa";"Brzyska Wola 44";"Rzeszów";1975-1-12 00:00:00;"W";"LO";1994,00;"K";"N";"B";2,00;"C";"nie";"nie";"T";"T";7,00;524,40 z³
246,00;304,00;"Jolanta";"Wojtas";"Niedzwiada 458";"Rzeszów";1973-4-4 00:00:00;"W";"LO";1994,00;"K";"T";"B";2,00;"R";"nie";"nie";"T";"T";5,00;1258,90 z³
247,00;296,00;"Magdalena";"Michalik";"Dabrowki 423/3";"Rzeszów";1977-1-22 00:00:00;"W";"LO";1994,00;"K";"N";"G";2,00;"I";"nie";"nie";"T";"T";5,00;1180,40 z³
248,00;205,00;"El¿bieta";"Michalik";"Sportowa 2/6";"Rzeszów";1971-7-26 00:00:00;"W";"LO";1994,00;"K";"T";"C";2,00;"I";"nie";"nie";"T";"T";1,00;1170,70 z³
249,00;111,00;"Anna";"Kalisz";"K.E.N.6/5";"Rzeszów";1974-5-13 00:00:00;"W";"LO";1994,00;"K";"N";"H";2,00;"R";"nie";"nie";"T";"T";16,00;1329,90 z³
250,00;98,00;"Anna";"S³owik";"Godowa 164";"Rzeszów";1971-10-20 00:00:00;"W";"LO";1994,00;"K";"N";"B";2,00;"C";"nie";"nie";"T";"T";2,00;1078,10 z³
251,00;79,00;"Marzena";"Wokurko";"Zaborow";"Rzeszów";1975-1-16 00:00:00;"W";"LO";1994,00;"K";"N";"F";2,00;"R";"nie";"nie";"T";"T";18,00;1246,20 z³
252,00;55,00;"Jacek";"Jod³owska";"Zawale 37/8";"Rzeszów";1974-2-11 00:00:00;"M";"LO";1994,00;"M";"T";"B";2,00;"R";"nie";"nie";"T";"T";9,00;510,10 z³
253,00;214,00;"Marzena";"Wójtowicz";"Kraszewskiego 14";"Rzeszów";1972-1-20 00:00:00;"M";"LZ";1994,00;"K";"T";"G";2,00;"R";"nie";"nie";"T";"T";3,00;597,20 z³
254,00;190,00;"Bo¿ena";"Szura";"Obroncow Pokoju 57B";"Rzeszów";1974-10-20 00:00:00;"M";"LZ";1994,00;"K";"N";"C";2,00;"C";"nie";"nie";"N";"T";5,00;798,90 z³
